Rank,SMILES,GateScore_Lipid_Total,GateScore_Gating,GateScore_Chemistry,GateScore_Novelty,GateScore_Safety,GateScore_Conjugate,Module_MW,Module_logP,Module_TPSA,HBD,HBA,NumHeteroatoms,Recommended_Linkage,Conjugatable_Groups,N_Conjugatable_Groups,pKa_Assessment,Estimated_BL_MW,Estimated_BL_logP,Novelty_vs_BLNP_Known,QED,SA_Score,PAINS_Alerts,Tox_Alerts
40,CC1CCC2(O)C(C)(C)C2(C)C1C,83.0,66.7,95.4,95.6,87.1,85.0,182.307,2.83,20.23,1,1,1,carbonate_ester,aliphatic_OH,1,unknown,562.3,7.8,100.0,0.611,3.77,none,none
41,CCC1CCC2(O)C(C1C)C2(C)C,82.9,66.7,95.4,94.6,87.8,85.0,182.307,2.83,20.23,1,1,1,carbonate_ester,aliphatic_OH,1,unknown,562.3,7.8,100.0,0.661,3.85,none,none
42,CCC1C(C)CCC2(O)C1C2(C)C,82.9,66.7,95.4,94.6,87.8,85.0,182.307,2.83,20.23,1,1,1,carbonate_ester,aliphatic_OH,1,unknown,562.3,7.8,100.0,0.661,3.85,none,none
43,CC1CC(O)C2(C)C(C1C)C2(C)C,82.9,66.7,95.4,95.6,86.1,85.0,182.307,2.686,20.23,1,1,1,carbonate_ester,aliphatic_OH,1,unknown,562.3,7.7,100.0,0.61,4.02,none,none
44,CCC1C(O)CC2C(C1C)C2(C)C,82.8,66.7,95.4,94.6,86.8,85.0,182.307,2.686,20.23,1,1,1,carbonate_ester,aliphatic_OH,1,unknown,562.3,7.7,100.0,0.661,4.1,none,none
45,CC1C2C(C)(C)C2(C)CCC1(C)O,82.8,66.7,95.4,94.7,87.1,85.0,182.307,2.83,20.23,1,1,1,carbonate_ester,aliphatic_OH,1,unknown,562.3,7.8,100.0,0.611,3.77,none,none
46,Cc1ccccc1CC=C(O)O,82.7,75.6,84.5,76.7,93.1,95.0,164.204,2.495,40.46,2,2,2,carbonate_ester,aliphatic_OH,2,unknown,544.2,7.5,100.0,0.659,2.53,none,none
47,Cc1ccccc1CC(O)=CO,82.7,75.6,84.5,77.0,93.1,95.0,164.204,2.495,40.46,2,2,2,carbonate_ester,aliphatic_OH,2,unknown,544.2,7.5,100.0,0.659,2.53,none,none
48,O=C(O)c1ccc(-c2ccccc2)cc1,82.7,66.6,95.1,100.0,93.6,75.0,198.221,3.052,37.3,1,1,2,ester,carboxyl,1,unknown,578.2,8.1,100.0,0.805,3.12,none,none
49,CC1C2C(CCC1(C)O)C2(C)C,82.6,75.6,87.0,85.9,87.0,85.0,168.28,2.44,20.23,1,1,1,carbonate_ester,aliphatic_OH,1,unknown,548.3,7.4,100.0,0.589,3.69,none,none
50,CC1C(C)(C)CCC2C(C)(C)C12O,82.4,66.7,95.4,90.9,88.1,85.0,182.307,2.83,20.23,1,1,1,carbonate_ester,aliphatic_OH,1,unknown,562.3,7.8,100.0,0.611,3.52,none,none
